Tipo de usuario,Fuente/medio,Código ISO del país,Categoría de dispositivo,Usuarios,Sesiones,Número de páginas vistas,Transacciones,Ingresos
New Visitor,google / organic,US,desktop,55675,55917,260886,34,78019.11
New Visitor,(direct) / (none),DE,desktop,42959,42999,118835,75,93777.52
New Visitor,(direct) / (none),US,desktop,39809,39889,124803,53,173811.89
New Visitor,google / organic,US,mobile,28780,28892,225794,1,1680
New Visitor,google / organic,CA,desktop,28447,28557,109988,2,5977.09
New Visitor,(direct) / (none),US,mobile,27667,27745,149412,2,4270.5
New Visitor,(direct) / (none),ES,desktop,25099,25134,42127,142,205255.96
New Visitor,google / organic,BR,desktop,23225,23302,90779,28,187332.8
New Visitor,google / cpc,US,desktop,22799,22871,109696,12,26677.33
New Visitor,google / organic,ES,desktop,21713,21760,68913,51,39143.44
Returning Visitor,google / organic,US,desktop,21442,35015,173192,130,362368.88
New Visitor,google / organic,DE,desktop,21034,21048,76219,17,22157.95
New Visitor,(direct) / (none),GB,desktop,20151,20179,29638,42,82570.96
New Visitor,google / organic,GB,desktop,18231,18270,59506,18,23168.93
New Visitor,(direct) / (none),ES,mobile,14247,14288,63791,9,4631.16
New Visitor,google / organic,AR,desktop,13555,13644,56347,8,9413.2
New Visitor,(direct) / (none),BR,mobile,12968,13002,61714,3,12124
New Visitor,google / organic,BR,mobile,11466,11498,85348,0,0
Returning Visitor,google / cpc,US,desktop,11348,17901,87182,54,183433.04
New Visitor,google / organic,FR,desktop,10889,10905,35622,17,30601.69
Returning Visitor,google / organic,US,mobile,10800,19231,115682,3,7789.32
New Visitor,google / cpc,DE,desktop,10743,10757,39125,14,19800.1
New Visitor,google / organic,US,tablet,10599,10645,61003,0,0
New Visitor,google / organic,GB,mobile,10223,10257,54328,1,1692.87
New Visitor,google / organic,GB,tablet,9544,9593,39280,0,0
New Visitor,(direct) / (none),DE,tablet,9495,9507,46428,2,2460.84
New Visitor,google / cpc,BR,desktop,9365,9408,38891,7,59596
New Visitor,google / organic,ES,mobile,9362,9396,52499,0,0
New Visitor,(direct) / (none),US,tablet,9221,9258,43268,3,4371.12
New Visitor,(direct) / (none),DE,mobile,9177,9195,51633,3,8019.6
Returning Visitor,google / organic,DE,desktop,9077,14250,61015,89,139830.83
Returning Visitor,google / organic,CA,desktop,9024,14506,59797,9,23791.45
New Visitor,google / organic,CA,mobile,8863,8889,55752,0,0
New Visitor,google / organic,CA,tablet,8800,8839,37873,0,0
New Visitor,google / cpc,ES,desktop,8633,8645,27718,39,27672.18
Returning Visitor,google / organic,US,tablet,8409,16198,73243,1,990
New Visitor,(direct) / (none),CA,desktop,8382,8395,23662,0,0
New Visitor,google / cpc,GB,desktop,8289,8304,26006,25,50536.63
New Visitor,(direct) / (none),BR,desktop,8288,8305,26337,18,129369.65
Returning Visitor,(direct) / (none),US,mobile,8236,14482,54267,3,5988.98
New Visitor,(direct) / (none),GB,mobile,8209,8226,34460,2,2479.31
New Visitor,google / organic,MX,desktop,8118,8171,27492,8,49513.4
Returning Visitor,google / organic,ES,desktop,8045,13085,52658,101,126359.52
Returning Visitor,google / organic,GB,tablet,7672,14545,55760,8,13366.81
New Visitor,bing / organic,US,desktop,7438,7475,35200,6,10871.22
Returning Visitor,google / organic,AR,desktop,7340,13241,56329,19,41334.56
New Visitor,(direct) / (none),GB,tablet,7258,7281,24121,11,28096.61
Returning Visitor,google / organic,BR,desktop,7240,10776,45328,64,456710.54
New Visitor,google / organic,DE,tablet,6864,6876,32457,0,0
Returning Visitor,google / organic,ES,mobile,6571,11708,73198,2,1306.52
