Tipo de usuario,NewVisitor,ReturningVisitor,Fuente/medio,Google CPC,DFA CPC,BING CPC,Facebook,Tripadvisor,Referrals,Organic / Direct,,C’_digo ISO del pa’_s,Device Type,Mobile,Tablet,Desktop,Users,Sessions,Number of Pages visited,Number of Transactions,Revenue
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,DE,desktop,0,0,1,42959,42999,118835,75,93777.52
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,US,desktop,0,0,1,39809,39889,124803,53,173811.89
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,US,mobile,1,0,0,27667,27745,149412,2,4270.5
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,ES,desktop,0,0,1,25099,25134,42127,142,205255.96
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,GB,desktop,0,0,1,20151,20179,29638,42,82570.96
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,ES,mobile,1,0,0,14247,14288,63791,9,4631.16
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,BR,mobile,1,0,0,12968,13002,61714,3,12124
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,DE,tablet,0,1,0,9495,9507,46428,2,2460.84
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,US,tablet,0,1,0,9221,9258,43268,3,4371.12
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,DE,mobile,1,0,0,9177,9195,51633,3,8019.6
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CA,desktop,0,0,1,8382,8395,23662,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,BR,desktop,0,0,1,8288,8305,26337,18,129369.65
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,US,mobile,1,0,0,8236,14482,54267,3,5988.98
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,GB,mobile,1,0,0,8209,8226,34460,2,2479.31
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,GB,tablet,0,1,0,7258,7281,24121,11,28096.61
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,MX,mobile,1,0,0,6318,6340,27483,5,76834
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CA,mobile,1,0,0,6119,6143,28458,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,FR,desktop,0,0,1,5110,5120,12679,17,27365.98
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,US,desktop,0,0,1,4826,7648,32763,55,185295.97
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,AR,desktop,0,0,1,4800,4826,16424,3,3662.9
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CA,tablet,0,1,0,4761,4775,17121,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,DE,desktop,0,0,1,4690,6937,28027,94,130114.94
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,ES,tablet,0,1,0,4536,4552,15783,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,AR,mobile,1,0,0,3511,3519,22244,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,ES,mobile,1,0,0,3476,7015,19977,16,5777.08
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CH,desktop,0,0,1,3440,3441,10079,27,83596.7
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,BR,mobile,1,0,0,3044,5520,17173,4,24903.6
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,MX,desktop,0,0,1,2989,2996,7989,13,341553.9
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,BR,tablet,0,1,0,2817,2826,10365,1,3700.8
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,BE,desktop,0,0,1,2333,2338,5825,10,12105.39
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,FR,tablet,0,1,0,2327,2332,8136,1,2116.12
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,US,tablet,0,1,0,2305,3788,13219,1,2229.38
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,DE,tablet,0,1,0,2184,3375,13612,2,2776.76
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,GB,mobile,1,0,0,2177,3971,10714,3,10108.33
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,DE,mobile,1,0,0,2176,3990,10771,2,1859.15
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IT,desktop,0,0,1,2143,2150,5238,7,8000.56
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PT,desktop,0,0,1,2064,2073,4980,5,11072.39
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,RU,desktop,0,0,1,2061,2063,4883,4,10061.18
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,FR,mobile,1,0,0,1924,1930,8733,1,1017.37
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,NL,desktop,0,0,1,1780,1782,4689,5,5017.19
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,MX,tablet,0,1,0,1745,1750,5797,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,ES,desktop,0,0,1,1702,3127,12016,117,164244.41
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,GB,tablet,0,1,0,1681,2839,6955,4,3980.64
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CA,mobile,1,0,0,1662,2750,9678,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,MX,mobile,1,0,0,1647,2923,9088,2,28083
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CL,desktop,0,0,1,1646,1652,5875,5,40554.3
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,AT,desktop,0,0,1,1570,1570,4685,6,9029.86
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,DO,mobile,1,0,0,1497,1506,7799,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CH,mobile,1,0,0,1405,1406,6064,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IT,mobile,1,0,0,1402,1404,6731,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,AR,mobile,1,0,0,1360,2820,9380,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,GB,desktop,0,0,1,1304,1784,5019,31,74064.19
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CA,tablet,0,1,0,1300,2153,6108,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CL,mobile,1,0,0,1186,1195,7338,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CH,tablet,0,1,0,1173,1174,4587,1,3628.29
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PT,mobile,1,0,0,1130,1137,4928,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,BR,desktop,0,0,1,1059,2370,7199,21,159718.05
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,ES,tablet,0,1,0,1031,1857,5317,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,AR,tablet,0,1,0,916,920,4432,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CA,desktop,0,0,1,893,1171,4109,1,882
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,NL,mobile,1,0,0,883,885,3679,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,BE,tablet,0,1,0,843,844,2678,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,AR,desktop,0,0,1,804,1139,4451,4,25248.7
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IT,tablet,0,1,0,799,800,2769,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IE,desktop,0,0,1,778,779,1616,2,2606.6
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,RU,mobile,1,0,0,775,775,2989,1,2411.96
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,NL,tablet,0,1,0,752,755,2528,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,BE,mobile,1,0,0,726,726,3072,0,0
